time	V(cap)	V(source)
1.667253794603963e-04	8.510226e-01	-8.670570e+00
1.679112053532534e-04	7.366635e-01	-9.016457e+00
1.690970312461105e-04	6.183916e-01	-9.317842e+00
1.697945758889677e-04	5.484677e-01	-9.468154e+00
1.704921205318248e-04	4.783778e-01	-9.599756e+00
1.711896651746820e-04	4.081219e-01	-9.712648e+00
1.718872098175391e-04	3.376999e-01	-9.806830e+00
1.725847544603963e-04	2.671119e-01	-9.882301e+00
1.732822991032534e-04	1.963579e-01	-9.939064e+00
1.739798437461105e-04	1.254379e-01	-9.977116e+00
1.749564062461105e-04	2.713754e-02	-9.997610e+00
1.754446874961105e-04	-2.168279e-02	-9.993745e+00
1.764212499961105e-04	-1.184404e-01	-9.957811e+00
1.773978124961105e-04	-2.137261e-01	-9.884398e+00
1.788626562461105e-04	-3.531338e-01	-9.704647e+00
1.803274999961106e-04	-4.872997e-01	-9.442746e+00
1.817923437461106e-04	-6.151210e-01	-9.100910e+00
1.832571874961106e-04	-7.355478e-01	-8.682034e+00
1.845127678532534e-04	-8.333004e-01	-8.255943e+00
1.857683482103963e-04	-9.231032e-01	-7.786592e+00
1.870239285675391e-04	-1.004956e+00	-7.273980e+00
1.882795089246820e-04	-1.078859e+00	-6.718107e+00
1.895350892818249e-04	-1.144812e+00	-6.118974e+00
1.907906696389677e-04	-1.202815e+00	-5.476579e+00
1.920462499961106e-04	-1.252869e+00	-4.790924e+00
1.927437946389677e-04	-1.276180e+00	-4.399895e+00
1.934413392818248e-04	-1.296522e+00	-4.002362e+00
1.941388839246820e-04	-1.313896e+00	-3.598324e+00
1.948364285675391e-04	-1.328300e+00	-3.187781e+00
1.955339732103963e-04	-1.339736e+00	-2.770734e+00
1.962315178532534e-04	-1.348203e+00	-2.347182e+00
1.969290624961106e-04	-1.353700e+00	-1.917125e+00
1.979056249961106e-04	-1.356235e+00	-1.311831e+00
1.993704687461106e-04	-1.348919e+00	-3.953500e-01
2.013235937461106e-04	-1.318579e+00	8.304847e-01
2.020908928532534e-04	-1.300152e+00	1.312384e+00
2.028581919603963e-04	-1.278373e+00	1.788508e+00
2.036254910675391e-04	-1.253241e+00	2.258855e+00
2.043927901746820e-04	-1.224756e+00	2.723426e+00
2.051600892818248e-04	-1.192919e+00	3.182221e+00
2.059273883889677e-04	-1.157729e+00	3.635240e+00
2.066946874961106e-04	-1.119186e+00	4.082483e+00
2.078805133889677e-04	-1.052736e+00	4.758700e+00
