w,G1,P1,G2,P2,G,P
1.275051240713013456e+00,3.147461843111889923e+00,3.810645874238716857e+01,1.983938026472387817e+00,-7.266297338179446008e+00,6.244369237420547947e+00,3.084016140420772345e+01
1.335451562929898861e+00,3.201827362411833189e+00,3.682625041089863061e+01,1.982400747341582337e+00,-7.606567606774928159e+00,6.347304956103944740e+00,2.921968280412370333e+01
1.398713102647238582e+00,3.253922158751044069e+00,3.556260302475511281e+01,1.980718477315634551e+00,-7.962378627991038016e+00,6.445103743584970069e+00,2.760022439676407657e+01
1.464971398307285622e+00,3.303695655255984409e+00,3.431772591014414076e+01,1.978877967894318024e+00,-8.334382721675776651e+00,6.537610544814251412e+00,2.598334318846836410e+01
1.534368408930012473e+00,3.351116822750789925e+00,3.309365308494493263e+01,1.976864844580011882e+00,-8.723251190251920306e+00,6.624705036976701322e+00,2.437040189469301410e+01
1.607052818261639260e+00,3.396173306735957631e+00,3.189223170932086759e+01,1.974663527974176214e+00,-9.129673586108628669e+00,6.706299563490949467e+00,2.276255812321223715e+01
1.683180353330956613e+00,3.438870255151046162e+00,3.071511425311178556e+01,1.972257152770571897e+00,-9.554356736486235846e+00,6.782336458171613458e+00,2.116075751662554438e+01
1.762914118095948002e+00,3.479228907268872462e+00,2.956375426178334820e+01,1.969627485387299926e+00,-9.998023491836217858e+00,6.852784883710793196e+00,1.956573076994713389e+01
1.846424942895543486e+00,3.517285006352393051e+00,2.843940549931962636e+01,1.966754841191596270e+00,-1.046141116059282261e+01,6.917637314094181811e+00,1.797799433872680197e+01
1.933891750455231096e+00,3.553087097729276334e+00,2.734312416432151949e+01,1.963618002517637295e+00,-1.094526959029576574e+01,6.976905789614352038e+00,1.639785457402575020e+01
2.025501939230667681e+00,3.586694770230000717e+00,2.627577381615623864e+01,1.960194138961132593e+00,-1.145035885215902383e+01,7.030618066847395653e+00,1.482541496399721481e+01
2.121451784910629801e+00,3.618176893128516980e+00,2.523803261106291629e+01,1.956458731756838931e+00,-1.197744648362481179e+01,7.078813775602118774e+00,1.326058612743810627e+01
2.221946860939523649e+00,3.647609893490517674e+00,2.423040243206137134e+01,1.952385504407249117e+00,-1.252730424134188425e+01,7.121540681783356419e+00,1.170309819071948354e+01
2.327202478960408438e+00,3.675076110817423469e+00,2.325321949873084648e+01,1.947946362131559805e+00,-1.310070431557097770e+01,7.158851140623399445e+00,1.015251518315987234e+01
2.437444150122220599e+00,3.700662257645905395e+00,2.230666606020343679e+01,1.943111343140654812e+00,-1.369841495649741603e+01,7.190798809964262794e+00,8.608251103706024310e+00
2.552908068239517991e+00,3.724458006793140985e+00,2.139078280357163209e+01,1.937848585210319552e+00,-1.432119546361498941e+01,7.217435679139334148e+00,7.069587339956634686e+00
2.673841615839946506e+00,3.746554718582244980e+00,2.050548164689003983e+01,1.932124311511582260e+00,-1.496979049157821073e+01,7.238809456181190427e+00,5.535691155311829981e+00
2.800503894183631104e+00,3.767044314880881206e+00,1.965055862787181340e+01,1.925902840149855244e+00,-1.564492363008511155e+01,7.254961344999455441e+00,4.005634997786701845e+00
2.933166278390043846e+00,3.786018301274864939e+00,1.882570664346142308e+01,1.919146622343749442e+00,-1.634729022187392289e+01,7.265924235023277333e+00,2.478416421587495311e+00
3.072112998861757482e+00,3.803566934224761553e+00,1.803052783942436577e+01,1.911816314614076751e+00,-1.707754939224444968e+01,7.271721318577548665e+00,9.529784471799156442e-01
3.217641750250737065e+00,3.819778526594557189e+00,1.726454549116344239e+01,1.903870890720574804e+00,-1.783631527610836898e+01,7.272365145782906382e+00,-5.717697849449330239e-01
3.370064329271928116e+00,3.834738882424944428e+00,1.652721525587991991e+01,1.895267799337497117e+00,-1.862414744487865192e+01,7.267857122727455987e+00,-2.096932188998725355e+00
3.529707302730650031e+00,3.848530850144240567e+00,1.581793571112568131e+01,1.885963173551203909e+00,-1.944154055591889474e+01,7.258187455647743924e+00,-3.623604844793215207e+00
3.696912707195028513e+00,3.861233982445339663e+00,1.513605812529625005e+01,1.875912098137781925e+00,-2.028891327208908635e+01,7.243335541409940070e+00,-5.152855146792830077e+00
3.872038781812555008e+00,3.872924290679695680e+00,1.448089543156168624e+01,1.865068940175774515e+00,-2.116659652829122606e+01,7.223270802198992868e+00,-6.685701096729538939e+00
4.055460735840830111e+00,3.883674081705617454e+00,1.385173039822106844e+01,1.853387747804646768e+00,-2.207482125576812138e+01,7.197953959499653998e+00,-8.223090857547051158e+00
