t,S
-3.599999999999817235e-02,2.240842978422788734e-01
-3.579999999999816662e-02,3.989858892467378904e-01
-3.559999999999816089e-02,5.571367066569923310e-01
-3.539999999999815516e-02,6.871465983470904648e-01
-3.519999999999814944e-02,7.789249251690837372e-01
-3.499999999999814371e-02,8.244294954152429078e-01
-3.479999999999813798e-02,8.183119325322575355e-01
-3.459999999999813225e-02,7.584102210844410052e-01
-3.439999999999812652e-02,6.460475472498423688e-01
-3.419999999999812079e-02,4.861081267457580402e-01
-3.399999999999811506e-02,2.868748173679246394e-01
-3.379999999999810933e-02,5.962906333862062758e-02
-3.359999999999810361e-02,-1.819699169440719688e-01
-3.339999999999809788e-02,-4.226939231159658750e-01
-3.319999999999809215e-02,-6.466955236834323051e-01
-3.299999999999808642e-02,-8.385401698498140544e-01
-3.279999999999808069e-02,-9.842540758927101896e-01
-3.259999999999807496e-02,-1.072317530328223079e+00
-3.239999999999806923e-02,-1.094534241617660664e+00
-3.219999999999806350e-02,-1.046713048889591935e+00
-3.199999999999805778e-02,-9.291086232902882047e-01
-3.179999999999805205e-02,-7.465821073129745855e-01
-3.159999999999804632e-02,-5.084601495972425056e-01
-3.139999999999804059e-02,-2.280904047961661019e-01
-3.119999999999803486e-02,7.788798563332387237e-02
-3.099999999999802913e-02,3.905205031004574945e-01
-3.079999999999802340e-02,6.897035206340923486e-01
-3.059999999999801767e-02,9.554694975311686100e-01
-3.039999999999801195e-02,1.169309379860241416e+00
-3.019999999999800622e-02,1.315445169996136254e+00
-2.999999999999800049e-02,1.381966011250344462e+00
-2.979999999999799476e-02,1.361747374115548137e+00
-2.959999999999798903e-02,1.253084792798967229e+00
-2.939999999999798330e-02,1.059990459268314256e+00
-2.919999999999797757e-02,7.921218533293363784e-01
-2.899999999999797184e-02,4.643351858200775450e-01
-2.879999999999796612e-02,9.588124927218166782e-02
-2.859999999999796039e-02,-2.907143291557313103e-01
-2.839999999999795466e-02,-6.710221089951743378e-01
-2.819999999999794893e-02,-1.020248114356463454e+00
-2.799999999999794320e-02,-1.314844652896233423e+00
-2.779999999999793747e-02,-1.534088322331426557e+00
-2.759999999999793174e-02,-1.661519957489844934e+00
-2.739999999999792601e-02,-1.686147371667993999e+00
-2.719999999999792029e-02,-1.603324627250519718e+00
-2.699999999999791456e-02,-1.415240556920434711e+00
-2.679999999999790883e-02,-1.130973245264615068e+00
-2.659999999999790310e-02,-7.660947034267555633e-01
-2.639999999999789737e-02,-3.418392837715530375e-01
-2.619999999999789164e-02,1.161214205563620150e-01
-2.599999999999788591e-02,5.792273135143367613e-01
-2.579999999999788018e-02,1.017809086010067476e+00
-2.559999999999787446e-02,1.402987333390206759e+00
-2.539999999999786873e-02,1.708570019076205426e+00
-2.519999999999786300e-02,1.912823812992668682e+00
-2.499999999999785727e-02,2.000000000000269118e+00
-2.479999999999785154e-02,1.961508831522336127e+00
-2.459999999999784581e-02,1.796656701099565323e+00
-2.439999999999784008e-02,1.512887176295492964e+00
-2.419999999999783435e-02,1.125498093905656027e+00
-2.399999999999782863e-02,6.568406639848406448e-01
-2.379999999999782290e-02,1.350406575599376324e-01
-2.359999999999781717e-02,-4.076859745725802675e-01
-2.339999999999781144e-02,-9.370224628349504981e-01
-2.319999999999780571e-02,-1.418722713731617180e+00
-2.299999999999779998e-02,-1.820827420580748202e+00
-2.279999999999779425e-02,-2.115781316303646076e+00
-2.259999999999778852e-02,-2.282311433590692662e+00
-2.239999999999778280e-02,-2.306938847768327250e+00
-2.219999999999777707e-02,-2.185017621221229334e+00
-2.199999999999777134e-02,-1.921223324602546745e+00
-2.179999999999776561e-02,-1.529447844636619758e+00
-2.159999999999775988e-02,-1.032095057262828908e+00
-2.139999999999775415e-02,-4.588109291843869841e-01
-2.119999999999774842e-02,1.552808288481922483e-01
-2.099999999999774269e-02,7.717327916829724854e-01
-2.079999999999773697e-02,1.351185326589816826e+00
-2.059999999999773124e-02,1.855884050420156139e+00
-2.039999999999772551e-02,2.252141927378735087e+00
-2.019999999999771978e-02,2.512585270400441662e+00
-1.999999999999771405e-02,2.618033988750168461e+00
-1.979999999999770832e-02,2.558887474517835603e+00
-1.959999999999770259e-02,2.335917340313557578e+00
-1.939999999999769686e-02,1.960405012151751558e+00
-1.919999999999769114e-02,1.453603659278220883e+00
-1.899999999999768541e-02,8.455474743948956373e-01
-1.879999999999767968e-02,1.732740924789851755e-01
-1.859999999999767395e-02,-5.214348535518675831e-01
-1.839999999999766822e-02,-1.194657016668044802e+00
-1.819999999999766249e-02,-1.803113851686291902e+00
-1.799999999999765676e-02,-2.306959354213187208e+00
-1.779999999999765103e-02,-2.672392894665979401e+00
-1.759999999999764531e-02,-2.873924563641466534e+00
-1.739999999999763958e-02,-2.896141274929405540e+00
-1.719999999999763385e-02,-2.734851867658457891e+00
-1.699999999999762812e-02,-2.397527807646627984e+00
-1.679999999999762239e-02,-1.903000435306628324e+00
-1.659999999999761666e-02,-1.280423243138518075e+00
-1.639999999999761093e-02,-5.675553413922573842e-01
-1.619999999999760520e-02,1.915330147855689447e-01
-1.599999999999759948e-02,9.491931601387285644e-01
-1.579999999999759375e-02,1.657199053176553916e+00
-1.559999999999758802e-02,2.269826962441162888e+00
-1.539999999999758229e-02,2.746816499095012354e+00
-1.519999999999757656e-02,3.056020711984592353e+00
-1.499999999999757083e-02,3.175570504585193632e+00
-1.479999999999756510e-02,3.095407719343894026e+00
-1.459999999999755937e-02,2.818080121824862783e+00
-1.439999999999755365e-02,2.358737803023363888e+00
-1.419999999999754792e-02,1.744321290662448787e+00
-1.399999999999754219e-02,1.011983679649605561e+00
-1.379999999999753646e-02,2.068389990314287719e-01
-1.359999999999753073e-02,-6.208264332840924826e-01
-1.339999999999752500e-02,-1.418706705319789485e+00
-1.319999999999751927e-02,-2.135794645426954741e+00
-1.299999999999751354e-02,-2.725654473049257565e+00
-1.279999999999750782e-02,-3.149438037987416283e+00
-1.259999999999750209e-02,-3.378448132461740805e+00
-1.239999999999749636e-02,-3.396079414365995142e+00
-1.219999999999749063e-02,-3.199005759600454635e+00
-1.199999999999748490e-02,-2.797530004643848045e+00
-1.179999999999747917e-02,-2.215065087005914535e+00
-1.159999999999747344e-02,-1.486771168016095990e+00
-1.139999999999746771e-02,-6.574278596613826187e-01
-1.119999999999746199e-02,2.213293618251436223e-01
-1.099999999999745626e-02,1.094237361578058954e+00
-1.079999999999745053e-02,1.905895510088984945e+00
-1.059999999999744480e-02,2.604296453114749887e+00
-1.039999999999743907e-02,3.144171540545039001e+00
-1.019999999999743334e-02,3.489934890385498534e+00
-9.999999999997427613e-03,3.618033988750084973e+00
-9.799999999997421885e-03,3.518551226280573818e+00
-9.599999999997416156e-03,3.195947593153516841e+00
-9.399999999997410427e-03,2.668893959992049147e+00
-9.199999999997404698e-03,1.969193520749611404e+00
-8.999999999997398969e-03,1.139857344349415547e+00
-8.799999999997393241e-03,2.324498103034673413e-01
-8.599999999997387512e-03,-6.961315734431925417e-01
-8.399999999997381783e-03,-1.587239984218995925e+00
-8.199999999997376054e-03,-2.384199980938872976e+00
-7.999999999997370326e-03,-3.035927981636862505e+00
-7.799999999997364597e-03,-3.500220243870689973e+00
-7.599999999997358868e-03,-3.746495857912979677e+00
-7.399999999997353139e-03,-3.757815837716201646e+00
-7.199999999997347411e-03,-3.532044680153616500e+00
-6.999999999997341682e-03,-3.082074913572935060e+00
-6.799999999997335953e-03,-2.435094737343882265e+00
-6.599999999997330224e-03,-1.630940059298016331e+00
-6.399999999997324496e-03,-7.196311357249234320e-01
-6.199999999997318767e-03,2.417531959153064181e-01
-5.999999999997313038e-03,1.192667458981702566e+00
-5.799999999997307309e-03,2.072930555354393967e+00
-5.599999999997301581e-03,2.826552318307812062e+00
-5.399999999997295852e-03,3.405311171736307152e+00
-5.199999999997290123e-03,3.771853262563421350e+00
-4.999999999997284394e-03,3.902113032590412534e+00
-4.799999999997278666e-03,3.786897760654744260e+00
-4.599999999997272937e-03,3.432531453448389058e+00
-4.399999999997267208e-03,2.860513237428718103e+00
-4.199999999997261479e-03,2.106208288881827873e+00
-3.999999999997255751e-03,1.216651303245320115e+00
-3.799999999997250022e-03,2.475995616467915050e-01
-3.599999999997244293e-03,-7.399788822286252898e-01
-3.399999999997238564e-03,-1.683759641786581218e+00
-3.199999999997232836e-03,-2.524014213240388216e+00
-2.999999999997227107e-03,-3.207408147152775779e+00
-2.799999999997221378e-03,-3.690402505960599822e+00
-2.599999999997215649e-03,-3.942040664288720020e+00
-2.399999999997209921e-03,-3.945941263496646201e+00
-2.199999999997204192e-03,-3.701368459355598883e+00
